Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Toyota 4Runner,12248,12624,-2.98,107944,114891,-6.05
Subaru Ascent,6091,6008,1.38,66133,22588,192.78
Volkswagen Atlas,6647,4725,40.68,66352,47727,39.02
Mazda CX-9,2094,1848,13.31,20637,23032,-10.40
Toyota Highlander,18857,20548,-8.23,199026,201247,-1.10
Nissan Murano,7477,5737,30.33,57825,68962,-16.15
Subaru Outback,11506,11574,-0.59,152036,149566,1.65
Hyundai Palisade,4357,0,0.00,17814,0,0.00
Honda Passport,3649,0,0.00,28972,0,0.00
Nissan Pathfinder,5636,5195,8.49,54978,55347,-0.67
Honda Pilot,9529,13479,-29.30,113498,133380,-14.91
Hyundai Santa Fe,10964,7728,41.87,107283,96697,10.95
Kia Sorento,8533,6560,30.08,80733,92252,-12.49
Kia Telluride,6075,0,0.00,45284,0,0.00
Volkswagen Touareg,1,108,-99.07,152,1879,-91.91
